"1boy","1男孩"
"40 (0f0urw)","40 (0f0urw)"
"40010prototype","40010原型"
"404 (girls' frontline)","404（少女前线）"
"404 logo (girls' frontline)","404标志（少女前线）"
"40hara","40 原"
"428","428"
"44742","44742"
"44764","44764"
"463 jun","198 年 6 月 463 日"
"4690 (tkpbsk)","4690 (tkpbsk)"
"47","47"
"47agdragon","47蛟龙"
"49s-aragon","49s-阿拉贡"
"4boys","4个男孩"
"4chan","4chan"
"4girls","4个女孩"
"4koma","4koma"
"4others","其他 4"
"4shi","4shi"
"4suke","4助"
"501st joint fighter wing","第501联合战斗机联队"
"547th sy","第 547 系统"
"54hao","54号"
"5boys","5个男孩"
"5danny1206","5丹尼1206"
"5girls","5个女孩"
"5koma","5koma"
"5others","其他 5"
"6 (yuchae)","6（鱼菜）"
"6+boys","6+男孩"
"6+girls","6+女孩"
"6+others","6+其他"
"60+fps","60+fps"
"60mai","60 迈"
"666","666"
"69","69"
"6koma","6koma"
"6u (eternal land)","6u（永恒之地）"
"7 calpis 7","7 卡尔皮斯 7"
"7-eleven","44753"
"7-tan","7-棕褐色"
"7001","7001"
"7010","7010"
"71","71"
"74","74"
"74 (teduka)","74（特杜卡）"
"774 (nanashi)","774（七无）"
"77gl","77gl"
"78rr","78rr"
"7gao","7高"
"7ife","7生活"
"7lark","7云雀"
"7th dragon","第七龙"
"7th dragon (series)","第七龙（系列）"
"7th dragon 2020","第七龙 2020"
"7th dragon 2020-ii","第七龙 2020-ii"
"7zu7","7zu7"
"8 (yamalu)","8（亚马鲁）"
"8-gou (mechanist08)","8-gou (mechanist08)"
"846-gou","846-勾"
"86 -eightysix-","86-八十六-"
"888myrrh888","888没药888"
"92m","92m"
"95-tan","95-棕褐色"
"98-tan","98-棕褐色"
"98se-tan","98se-tan"
"9a-91","9a-91"
"9a-91 (girls' frontline)","9a-91（女生前线）"
"9law","9法律"
":/",":/"
":3",":3"
":<",":<"
":<>",":<>"
":>",":>"
":>=",":>="
":c",":c"
":d",":d"
":i",":i"
":o",":o"
":p",":p"
":q",":q"
":s",":s"
":t",":t"
":x",":x"
":|",":|"
";(",";("
";)",";)"
";/",";/"
";3",";3"
";<",";<"
";>",";>"
";d",";d"
";o",";o"
";p",";p"
";q",";q"
";t",";t"
";|",";|"
"<o> <o>","<o> <o>"
"<|> <|>","<|> <|>"
"= =","= ="
"> <","> <"
"> o","> o"
">:(",">:("
">:)",">:)"
">o<",">o<"
"?","?"
"? block","?块"
"??","??"
"@ @","@@"
"@@@","@@@"
"a (aaaaaaaaaaw)","一个 (aaaaaaaaaaaw)"
"a (phrase)","一个（短语）"
"a channel","一个频道"
"a deer of nine colors","九色鹿"
"a hat in time","及时戴上帽子"
"a maru","丸"
"a song of ice and fire","冰与火之歌"
"a-chan (hololive)","a-chan (hololive)"
"a-ka","又名"
"a-rise","上升"
"a-soul","灵魂"
"a.a (aa772)","aa (aa772)"
"a.b.a","阿巴"
"a.hebmuller","a.hebmuller"
"a.i. voice","人工智能语音"
"a.t. zero","零"
"a.x.","斧头"
"a1","a1"
"a6m zero","a6m 零"
"a9b (louis814)","a9b (路易斯814)"
"a:n (angrynum)","一个：n（愤怒）"
"aa megami-sama","aa 女神大人 1018"
"aa-12","AA-12"
"aa-12 (girls' frontline)","aa-12（女子前线）"
"aa2233a","aa2233a"
"aaaa (quad-a)","aaaa (quad-a)"
"aaeru","艾鲁"
"aak","aak"
"aak (arknights)","aak（方舟之夜）"
"aang","昂"
"aano (10bit)","aano (10位)"
"aardwolf (kemono friends)","aardwolf (kemono 朋友)"
"aardwolf ears","土狼耳朵"
"aardwolf print","土狼印花"
"aardwolf tail","土狼尾巴"
"aaru (tenrake chaya)","aaru (tenrake chaya)"
"aaru sentou shuudan","aaru sentou shuudan"
"abacus","算盘"
"abandon ranka","放弃兰卡"
"abandoned","被遗弃"
"abara heiki","原平辉"
"abarai renji","阿原井仁济"
"abaratani kurou","原谷九郎"
"abaraya","巴拉亚"
"abazu-red","abazu-红"
"abbreviated karakusa","简写 karakusa"
"abbystea","阿比斯蒂亚"
"abe inori","阿部伊诺里"
"abe kanari","阿部金成"
"abe nana","阿部娜娜"
"abe suke","安倍助"
"abe takakazu","阿部高和"
"abe yoshitoshi","安倍佳俊"
"abekawa","阿部川"
"abenattou","阿贝纳图"
"abenobashi mahou shoutengai","abenobashi mahoushuengai"
"abi (abimel10)","abi (abimel10)"
"abigail williams (emerald float) (fate)","阿比盖尔威廉姆斯（翡翠浮动）（命运）"
"abigail williams (fate)","阿比盖尔威廉姆斯（命运）"
"abigail williams (festival outfit) (fate)","阿比盖尔威廉姆斯（节日服装）（命运）"
"abigail williams (second ascension) (fate)","阿比盖尔·威廉姆斯（第二次扬升）（命运）"
"abigail williams (swimsuit foreigner) (fate)","abigail williams (泳装老外) (fate)"
"abigail williams (swimsuit foreigner) (first ascension) (fate)","abigail williams（泳装外国人）（第一次升天）（命运）"
"abigail williams (swimsuit foreigner) (second ascension) (fate)","abigail williams (泳装老外) (第二次提升) (命运)"
"abigail williams (swimsuit foreigner) (third ascension) (fate)","abigail williams (泳装老外) (第三次提升) (命运)"
"abigail williams (third ascension) (fate)","阿比盖尔威廉姆斯（第三次提升）（命运）"
"abigail williams (traveling outfit) (fate)","阿比盖尔威廉姆斯（旅行装）（命运）"
"abiko yuuji","阿比子雄二"
"abmayo","阿马约"
"abo (hechouchou)","abo (合畴丑)"
"abo (kawatasyunnnosukesabu)","abo (kawatasyunnnosukesabu)"
"abomasnow","厌恶雪"
"above clouds","云层之上"
"abra","阿布拉"
"abs","绝对"
"absinthe (arknights)","苦艾酒（方舟之夜）"
"absol","绝对"
"absol (dkqthf)","绝对 (dkqthf)"
"absolum art","绝对艺术"
"absolute duo","绝对二人组"
"absolutely everyone","绝对是每个人"
"abstract","摘要"
"abstract background","抽象背景"
"absurdly long hair","荒谬的长发"
"absurdres","荒谬"
"abu","阿布"
"abua","阿布阿"
"abubu","阿布布"
"abukobato","阿布科巴托"
"abukuma (kancolle)","阿武隈 (kancolle)"
"abukuma kai ni (kancolle)","abukuma kai ni (kancolle)"
"aburaage","阿布拉奇"
"aburidashi zakuro","aburidashi zakuro"
"abuse","滥用"
"abusoru","abusoru"
"abutomato","abutomato"
"abyss mage (genshin impact)","深渊法师（原神冲击）"
"abyssal admiral (kancolle)","深渊海军上将 (kancolle)"
"abyssal crane princess","深渊仙鹤公主"
"abyssal ship","深海船"
"ac130","ac130"
"accel world","加速世界"
"accelerator (toaru majutsu no index)","加速器（toaru majutsu no index）"
"accessories","配件"
"accessory tan","配件棕褐色"
"acchi kocchi","阿基科基"
"acchii (akina)","阿基（阿基纳）"
"accident","事故"
"accidental exposure","意外暴露"
"accidental pervert","意外变态"
"accio","阿西奥"
"accordion","手风琴"
"ace","王牌"
"ace attorney","王牌律师"
"ace attorney investigations","王牌律师调查"
"ace combat","王牌战斗"
"ace combat 7","王牌战斗 7"
"ace combat zero","王牌战斗零"
"ace of clubs","俱乐部王牌"
"ace of diamond","钻石王牌"
"ace of diamonds","钻石王牌"
"ace of hearts","红心王牌"
"ace of spades","黑桃 A"
"ace rocket","王牌火箭"
"ace trainer (pokemon)","王牌教练（口袋妖怪）"
"acea4","acea4"
"acerola (pokemon)","针叶樱桃（口袋妖怪）"
"acesrulez","acesrulez"
"achakura","茶仓"
"achan (blue semi)","achan（蓝色半）"
"achievement unlocked","成就解锁"
"achiga school uniform","achiga 校服"
"achiki","立木"
"achilles (fate)","阿喀琉斯（命运）"
"aco (koaya ako)","aco (koaya ako)"
"acog","acog"
"acolyte (ragnarok online)","侍僧（仙境传说在线）"
"acorn","橡子"
"acoustic guitar","原声吉他"
"acronym","首字母缩略词"
"acryl","亚克力"
"acrylic paint (medium)","丙烯颜料（中）"
"act (xadachit)","法案 (xadachit)"
"action","行动"
"action figure","可动人偶"
"action pizazz","动作活泼"
"action taimanin","动作台马宁"
"acubi tomaranai","acubi tomaranai"
"ad","广告"
"ada wong","艾达王"
"adachi sakura","足立樱花"
"adachi to shimamura","足立到岛村"
"adachi tooru","足立彻"
"adagaki aki","安垣昭146"
"adam's apple","亚当的苹果"
"adaman (pokemon)","阿达曼（口袋妖怪）"
"adapted costume","改编服装"
"adapted object","改编对象"
"adapted turret","改装炮塔"
"adapted uniform","适应制服"
"add (elsword)","添加（elsword）"
"add (fate)","加（命运）"
"adelbert steiner","阿德伯特·施泰纳"
"adeleine","阿德莱娜"
"adell (disgaea)","阿德尔（disgaea）"
"adepta sororitas","修女会"
"adeptus astartes","阿斯塔特修会"
"adiane","阿黛安娜"
"adidas","阿迪达斯"
"adjustable wrench","活动扳手"
"adjusting another's clothes","调整别人的衣服"
"adjusting another's hair","调整别人的头发"
"adjusting bow","调整弓"
"adjusting bra","调整文胸"
"adjusting buruma","调整 buruma"
"adjusting clothes","调整衣服"
"adjusting collar","调节环"
"adjusting eyewear","调整眼镜"
"adjusting footwear","调整鞋类"
"adjusting gloves","调节手套"
"adjusting goggles","调节护目镜"
"adjusting hair","调整头发"
"adjusting headwear","调整头饰"
"adjusting hood","调节罩"
"adjusting legwear","调整裤袜"
"adjusting leotard","调整紧身衣"
"adjusting necktie","调整领带"
"adjusting panties","调整内裤"
"adjusting scarf","调整围巾"
"adjusting shoe","调节鞋"
"adjusting swimsuit","调整泳衣"
"admiral (kancolle)","海军上将 (kancolle)"
"admiral (kancolle) (cosplay)","海军上将 (kancolle) (cosplay)"
"admiral (warship girls r)","海军上将（军舰少女）"
"admiral arisugawa","有栖川上将"
"admiral graf spee (azur lane)","海军上将斯佩伯爵（碧蓝航线）"
"admiral graf spee (girl's sunday) (azur lane)","Admiral graf spee (girl's sunday) (碧蓝航线)"
"admiral graf spee (peaceful daily life) (azur lane)","Admiral graf spee (和平的日常生活) (azur Lane)"
"admiral hipper (azur lane)","希珀海军上将（碧蓝航线）"
"admiral paru","帕鲁上将"
"admiral shiro (shino)","白上将（四野）"
"admiral suwabe","诹访部上将"
"admire vega (umamusume)","佩服 vega (umamusume)"
"adolf hitler","阿道夫·希特勒"
"adomi","阿多米"
"adrenaline!!!","肾上腺素！！！"
"adsouto","广告"
"adult baby","成年婴儿"
"adult neptune","成年海王星"
"advance wars","推进战争"
"advanced nurturing high school uniform","高级培育高中校服"
"advent cirno","降临奇诺"
"adventure time","冒险时间"
"adventurer (ff14)","冒险家 (ff14)"
"adyisu","阿迪苏"
"ae-3803","AE-3803"
"aegir (azur lane)","艾吉尔（碧蓝航线）"
"aegir (housamo)","aegir (housamo)"
"aegis (nerocc)","宙斯盾 (nerocc)"
"aegis (persona)","宙斯盾（角色）"
"aegis (takunomi)","宙斯盾（takunomi）"
"aegis sword (xenoblade)","宙斯盾剑（异刃）"
"aegislash","神盾"
"aek-999 (girls' frontline)","aek-999（少女前线）"
"aer (tengqiu)","阿尔（腾丘）"
"aer7o","aer7o"
"aerial battle","空战"
"aerial fireworks","空中烟花"
"aerisdies","艾瑞斯迪"
"aerith gainsborough","爱丽丝庚斯博罗"
"aerodactyl","飞龙"
"aeru","aeru"
"aestheticc-meme","审美模因"
"aestus estus","aestus estus"
"aether (genshin impact)","以太（原神冲击）"
"aether foundation employee","以太基金会员工"
"aether foundation uniform","以太基础制服"
"aetherion","以太离子"
"affectionate","深情的"
"afloat","漂浮"
"african penguin (kemono friends)","非洲企鹅（kemono 朋友）"
"african rock python (kemono friends)","非洲岩蟒（kemono 朋友）"
"african wild dog (kemono friends)","非洲野狗（kemono 朋友）"
"african wild dog print","非洲野狗印花"
"afro","非洲人"
"afrobull","非洲公牛"
"after","之后"
"after anal","肛门后"
"after bathing","沐浴后"
"after battle","战斗后"
"after ejaculation","射精后"
"after fellatio","口交后"
"after fingering","指法后"
"after insertion","插入后"
"after kiss","接吻后"
"after masturbation","手淫后"
"after paizuri","在 paizuri"
"after rain","雨后"
"after rape","强奸后"
"after sex","性爱后"
"after vaginal","阴道后"
"after war gundam x","战后高达x"
"afterburner","加力燃烧室"
"afterglow","余辉"
"afterglow (bang dream!)","余辉（爆炸梦！）"
"afterimage","残像"
"afterword","后记"
"afukuro","阿福库罗"
"afuro","阿芙罗"
"afuro terumi","afuro terumi"
"agahari","阿加哈里"
"against door","对着门"
"against fence","对着栅栏"
"against fourth wall","靠着第四面墙"
"against glass","玻璃"
"against mirror","对着镜子"
"against railing","靠栏杆"
"against rock","对抗岩石"
"against table","对着桌子"
"against tree","反对树"
"against wall","靠墙"
"against window","靠窗"
"agano (kancolle)","agano (kancolle)"
"agarest senki","阿加雷斯特战记"
"agarest senki (series)","阿加雷斯特战记（系列）"
"agata (agatha)","阿加塔 (agatha)"
"agatsuma kaede","我妻枫"
"agatsuma zenitsu","我妻善逸"
"agawa ryou","阿川凉"
"age comparison","年龄比较"
"age conscious","年龄意识"
"age difference","年龄差"
"age of ishtaria","伊什塔利亚的年龄"
"age progression","年龄增长"
"age regression","年龄回归"
"age switch","年龄开关"
"agekichi (heart shape)","agekichi（心形）"
"agemono","阿吉莫诺"
"agenasu","agenasu"
"agent (girls' frontline)","特工（少女前线）"
"agent 3 (splatoon)","特工 3 (splatoon)"
"agent 4 (splatoon)","特工 4 (splatoon)"
"agent 8 (splatoon)","特工 8（喷射）"
"agent aika","艾卡特工"
"agetama","阿杰塔玛"
"aggron","阿格隆"
"agito (nanoha)","agito (nanoha)"
"agnamore","阿格纳莫尔"
"agnes digital (umamusume)","艾格尼丝数码 (umamusume)"
"agnes oblige","艾格尼丝义务"
"agnes tachyon (umamusume)","agnes tachyon (umamusume)"
"agonasubi","agonasubi"
"agovitch","阿戈维奇"
"agravain (fate)","agravain (命运)"
"agrias oaks","阿格里亚斯橡树"
"agrius metamorphosis","agrius 变态"
"agumon","亚古兽"
"ah-lyong lee","李阿龙"
"ahagon umiko","ahagon 美子"
"ahegao","ahegao"
"ahenn","雅典"
"ahoge","ahoge"
"ahoge wag","阿霍格摇摆"
"ahri (league of legends)","阿狸（英雄联盟）"
"ahsoka tano","阿索卡·塔诺"
"ai ai gasa","爱爱加沙"
"ai arctic warfare","人工智能北极战争"
"ai shite! homun","哎呀！霍蒙"
"ai takurou","爱拓郎"
"ai tenshi densetsu wedding peach","爱天时浓密婚礼桃子"
"ai yori aoshi","爱由里奥西"
"ai-chan (honkai impact)","ai-chan (honkai Impact)"
"ai-chan (tawawa)","爱酱 (tawawa)"
"ai-wa","爱华"
"aiba asagi","相叶朝木"
"aiba uiha","aiba uiha"
"aiba yumi","相叶由美"
"aibumi","爱布米"
"aida kensuke","相田健介"
"aida mana","艾达法力"
"aida rayhunton","艾达·雷亨顿"
"aida takanobu","相田隆信"
"aida yuu","爱达悠"
"aiguillette","针尖"
"aihara enju","爱原圆珠"
"aihara mei","爱原美"
"aihara nana","爱原奈奈"
"aihara shouta","爱原绍沙"
"aihara yuzu","爱原柚子"
"aijou karen","爱茹凯伦"
"aika (series)","艾卡（系列）"
"aika granzchesta","艾卡格兰切斯塔"
"aikatsu friends!","合肥朋友们！"
"aikatsu on parade!","aikatsu 在游行！"
"aikatsu stars!","合肥明星！"
"aikatsu!","合胜！"
"aikatsu! (series)","爱胜！ （系列）"
"aikawa arisa","相川有纱"
"aikawa chiho","合川千穗"
"aikawa chinatsu","合川 chinatsu"
"aikawa ruru","相川露露"
"aikawa ryou","合川凉"
"aikawa tatsuki","合川辰树 105"
"aikei ake","艾克艾克"
"aikir (jml5160)","艾基尔 (jml5160)"
"aiko (kanl)","爱子 (kanl)"
"aiko (renkin san-kyuu magical pokaan)","爱子 (renkin san-kyuu 魔法 pokaan)"
"aikome (haikome)","爱科美 (haikome)"
"aikura (twilight dusk)","aikura（黄昏）"
"aila jyrkiainen","艾拉·约尔基亚宁"
"aile (crossroads)","aile (十字路口)"
"aile (mega man zx)","爱乐 (mega man zx)"
"aimaina","爱迈纳"
"aimee (emi)","艾米 (emi)"
"aiming","瞄准"
"aiming at viewer","瞄准观众"
"aimitsu (ibityuttyu)","爱光 (ibityuttyu)"
"aimobake","爱烘焙"
"aimori meguru","爱森巡视"
"aina (mao lian)","艾娜（毛连）"
"aina ardebit","艾娜借记"
"aino heart","爱诺心"
"aino megumi","爱野惠"
"aino minako","爱野美奈子"
"ainu","阿伊努人"
"ainu clothes","阿伊努人衣服"
"ainy","艾尼"
"ainz ooal gown","安兹 ooal 礼服"
"aioi u","爱爱你"
"aioi yuuko","相井优子"
"aipom","艾波姆"
"air","空气"
"air bubble","气泡"
"air conditioner","空调"
"air defense princess","防空公主"
"air gear","空气齿轮"
"air groove (umamusume)","气槽 (umamusume)"
"air jordan","约旦航空"
"air jordan 1","约旦航空 1"
"air mattress","气垫"
"air shakur (umamusume)","air shakur (umamusume)"
"airandou","爱兰豆"
"airani iofifteen","艾拉尼十五岁"
"airborne","空降"
"aircraft","飞机"
"aircraft carrier","航空母舰"
"aircraft carrier oni","航空母舰鬼 472"
"aircraft carrier princess","航空母舰公主"
"aircraft carrier water oni","航空母舰水鬼"
"aircraft catapult","飞机弹射器"
"airfield princess","机场公主"
"airi (ogami kazuki)","airi (ogami kazuki)"
"airi (queen's blade)","airi（女王之刃）"
"airi (the infernal temptress)","airi（地狱般的诱惑者）"
"airisubaka","airisubaka"
"airplane","飞机"
"airplane interior","飞机内部"
"airplane wing","机翼"
"airport","机场"
"airship","飞艇"
"airsoft","气枪"
"aisaka sayo","相坂小夜"
"aisaka taiga","相坂大河"
"aisaki emiru","相崎 emiru"
"aisha clanclan","艾莎氏族"
"aisha landar","艾莎兰达"
"aislinn wishart","艾斯林威哈特"
"aisutabetao","艾苏塔贝托"
"aito","爱藤"
"aitsugawa rui","爱津川瑞"
"aiuti","奥提"
"aiz wallenstein","艾兹华伦斯坦"
"aizawa chizuru","相泽千鹤"
"aizawa eiko","相泽英子"
"aizawa hikaru","相泽光"
"aizawa kazuha","相泽和叶"
"aizawa sakuya","相泽咲也"
"aizawa yuuichi","相泽悠一"
"aizen (syoshiyuki)","蓝染 (syoshiyuki)"
"aizen kunitoshi","蓝染国志"
"ajax (azur lane)","阿贾克斯（碧蓝航线）"
"ajifurai","ajifurai"
"ajimita","阿吉米塔"
"ajino (sakanahen)","味野（sakanahen）"
"ajiriko","网尻子"
"ajiro shinpei","网次郎新平"
"ajirogasa","ajirogasa"
"ajishio","味盐"
"ajitarou (setsu)","味太郎 (setsu)"
"ajna (indivisible)","ajna（不可分割）"
"ak-12","AK-12"
"ak-12 (girls' frontline)","ak-12（少女前线）"
"ak-12 (quiet azure) (girls' frontline)","ak-12（安静的天蓝色）（女孩前线）"
"ak-15 (girls' frontline)","ak-15（少女前线）"
"ak-47","AK-47"
"ak-74","AK-74"
"ak-74m","AK-74m"
"aka kitsune","又名狐狸精"
"aka ringo","又名林戈"
"aka tawashi","又名 tawashi"
"aka ume","又名梅"
"aka6","又名6"
"akabane (zebrasmise)","赤羽（斑马）"
"akabane hibame","赤羽hibame"
"akabane youko","赤羽洋子"
"akabashi yuusuke","赤桥优介"
"akaboshi koume","赤星小梅"
"akadako","赤田子"
"akademeia uniform","学院制服"
"akaga hirotaka","赤贺广隆"
"akagashi hagane","赤城羽根"
"akagi (azur lane)","赤城（碧蓝航线）"
"akagi (fmttps)","赤城 (fmttps)"
"akagi (kancolle)","赤城 (kancolle)"
"akagi (paradise amaryllis) (azur lane)","akagi (天堂孤挺花) (azur Lane)"
"akagi (warship girls r)","赤城 (军舰少女 r)"
"akagi asahito","赤城旭人"
"akagi kai ni (kancolle)","akagi kai ni (kancolle)"
"akagi kurage","赤城仓吉"
"akagi miria","赤城米莉亚"
"akagi rio","赤城里约"
"akagi ritsuko","赤城律子"
"akagi shigeru","赤城茂"
"akagi shun","赤城顺"
"akagi towa","赤城东和"
"akagi-chan (azur lane)","赤城酱（碧蓝航线）"
"akagi: yami ni oritatta tensai","赤城：yami ni oritatta tensai"
"akahi242","赤日242"
"akahige","赤肥"
"akahito","明人"
"akai haato","akai haato"
"akai kitsune","赤井狐狸"
"akai ringo (ookami-san)","akai ringo (ookami-san)"
"akai ronii","赤井 ronii"
"akai sashimi","赤井生鱼片"
"akai shuuichi","赤井秀一"
"akaiha (akaihasugk)","赤羽 (akaihasugk)"
"akairiot","阿凯里奥特"
"akakage red","赤影红"
"akakura","赤仓"
"akali","阿卡丽"
"akali (legacy)","阿卡丽（旧版）"
"akamaru","赤丸"
"akamatsu kaede","赤松枫"
"akamatsu ken","赤松健"
"akame (akame ga kill!)","akame (akame ga kill!)"
"akame ga kill!","akame ga 杀！"
"akamoku","赤木"
"akanagi youto","赤薙洋人"
"akanasu","赤须"
"akanbe","阿寒边"
"akane (blue archive)","茜（蓝色档案）"
"akane (bunny) (blue archive)","茜（兔子）（蓝色档案）"
"akane souichi","茜总一"
"akane yuki","茜茜"
"akane-iro ni somaru saka","akane-iro ni somaru saka"
"akaneko (redakanekocat)","茜子 (redakanekocat)"
"akanesanzou","茜三藏"
"akaneya","茜屋"
"akaneyu akiiro","akaneyu akiiro"
"akano murasaki","赤野村崎"
"akaoni (zumt3548)","akaoni (zumt3548)"
"akari (pokemon)","akari（口袋妖怪）"
"akari (princess connect!)","akari（公主连接！）"
"akarui kioku soushitsu","akarui kioku soushitsu"
"akasaai","阿卡赛"
"akasaka (qv92612)","赤坂 (qv92612)"
"akasaka mamoru","赤坂守"
"akasaka yuzu","赤坂柚子"
"akasata","赤笠"
"akashi (azur lane)","明石（碧蓝航线）"
"akashi (kancolle)","明石 (kancolle)"
"akashi (live a hero)","明石（活出英雄）"
"akashi kaoru","明石薰"
"akashi kuniyuki","明石国之162"
"akashi seijuurou","明石征十郎"
"akashi yuuna","明石优奈"
"akashio (loli ace)","akashio (萝莉王牌)"
"akashiya moka","明石屋摩卡"
"akasia","阿卡西亚"
"akasode (tyaramu)","akasode (tyaramu)"
"akata itsuki","赤田五月"
"akatoro (nightlord)","akatoro（夜王）"
"akatsuki (kancolle)","晓 (kancolle)"
"akatsuki (log horizon)","晓（原木地平线）"
"akatsuki akane","晓茜"
"akatsuki blitzkampf","晓闪电战"
"akatsuki hijiri","晓希尻"
"akatsuki hiro","晓宏"
"akatsuki ikki","晓一辉"
"akatsuki kai ni (kancolle)","akatsuki kai ni (kancolle)"
"akatsuki kirika","晓桐花"
"akatsuki miho","晓美穗"
"akatsuki no goei","晓的合影"
"akatsuki no yona","晓之约娜"
"akatsuki uni","晓 uni"
"akatsuki uniform","晓制服"
"akaza","赤座"
"akaza akane","赤座茜"
"akaza akari","赤座赤里"
"akazaki yasuma","赤崎安真"
"akazawa izumi","赤泽泉"
"akazawa red","赤泽红"
"akazukin chacha","赤津茶茶"
"akazutsumi momoko","赤海桃子"
"akb48","akb48"
"akchu","阿克楚"
"akebi komichi","明美小道"
"akebi-chan no serafuku","akebi-chan no serafuku"
"akebono (kancolle)","曙光 (kancolle)"
"akebono kai ni (kancolle)","akebono kai ni (kancolle)"
"akechi gorou","明智五郎"
"akechi kokoro","明知心"
"akechi shizuku","明智雫"
"akehi yuki","明日雪"
"akemi homura","明美小焰"
"akemi homura (cosplay)","明美 homura (角色扮演)"
"akemiho tabi nikki","明穗布衣尼基"
"aken","阿肯"
"akeome","阿克美"
"akesaka iku","赤坂iku"
"aketa mikoto","明太美琴"
"akeyama kitsune","明山狐狸"
"akg","公斤"
"aki (akikaze asparagus)","aki（秋风芦笋）"
"aki (akisora hiyori)","aki (akisora hiyori)"
"aki (girls und panzer)","aki（少女与装甲）"
"aki (neyuki41028)","秋 (neyuki41028)"
"aki (sangetusei)","aki (sangetusei)"
"aki eda","枝田明"
"aki minoriko","秋小子"
"aki poi","秋波伊"
"aki rosenthal","阿基罗森塔尔"
"aki shizuha","静叶秋"
"aki663","aki663"
"aki99","aki99"
"akiamare","akiamare"
"akiba hideki","秋叶秀117"
"akiba monaka","秋叶真中"
"akichin (atelier baguri)","akichin (atelier baguri)"
"akieda","秋枝148"
"akigumo (kancolle)","秋云 (kancolle)"
"akigumo kai ni (kancolle)","秋云改你（kancolle）"
"akiha (attract)","秋叶（吸引）"
"akiha rumiho","秋叶留美穗"
"akihabara (tokyo)","秋叶原（东京）"
"akihazama","秋叶间"
"akihime sumomo","秋姬相扑"
"akihiro altland","奥特兰明弘"
"akihiyo","秋日"
"akikawa yayoi (umamusume)","秋川弥生 (umamusume)"
"akikaze tsumuji","秋风嬛嬛"
"akikazu mizuno","秋和美津浓"
"akimaki yuu","秋卷悠"
"akimoto dai","秋元代"
"akimoto komachi","秋元小町"
"akina tsukako","秋名冢子"
"akinaie","秋奈"
"akinashi yuu","明梨悠"
"akinbo (hyouka fuyou)","akinbo (hyouka fuyou)"
"akine (kuroyuri)","akine (kuroyuri)"
"akino (princess connect!)","秋野（公主连接！）"
"akino coto","秋野古藤"
"akino ell","秋野埃尔"
"akino hamo","秋野hamo"
"akino komichi","秋野小道"
"akino shin","秋野心"
"akino shuu","秋野秀"
"akino sora","秋野空"
"akino subaru","秋野昴"
"akino takehiko","秋野武彦"
"akira","晃"
"akira (been0328)","晃 (been0328)"
"akira (coffee curry)","akira（咖啡咖喱）"
"akira (kadokawa)","晃（角川）"
"akira (meltyhip)","akira (meltyhip)"
"akira (orenchi no maidosan)","akira (orenchi no maidosan)"
"akira (viper)","晃（毒蛇）"
"akira ferrari","晃法拉利"
"akira ituki","akira ituki"
"akira miku ver","晃未来 ver"
"akira shiun","晃志云"
"akirannu","akirannu"
"akisa (12023648)","秋沙 (12023648)"
"akisaka yamoka","秋坂山冈"
"akisha","秋莎"
"akishima kei","秋岛圭"
"akishimo (kancolle)","秋下 (kancolle)"
"akisoba","秋荞麦面"
"akisome hatsuka","初夏秋染"
"akisora","秋空"
"akita hika","秋田彦"
"akita neru","秋田 neru"
"akita toushirou","秋田当士郎"
"akitaka akita","akitaka 秋田"
